pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgment
697	A	A	3.4	NEUTRAL
699	A	A	2.8	NEUTRAL
702	Two	Two	4.7	ENTAILMENT
703	Two	Two	4.1	CONTRADICTION
704	Two	Two	3.7	ENTAILMENT
709	A	Two	3.3	NEUTRAL
715	The	A	3.7	NEUTRAL
722	A	One	3.1	NEUTRAL
723	A	A	3.7	NEUTRAL
725	A	A	3.8	NEUTRAL
727	A	There	3.6	CONTRADICTION
728	A	The	3.6	NEUTRAL
729	The	The	4.9	ENTAILMENT
730	The	The	3.4	CONTRADICTION
731	The	A	3.4	NEUTRAL
732	A	The	3.2	NEUTRAL
733	The	The	3.6	NEUTRAL
734	The	There	3.2	NEUTRAL
735	The	The	2.8	NEUTRAL
736	The	A	3.3	NEUTRAL
737	The	The	4.8	ENTAILMENT
738	The	The	4.3	NEUTRAL
741	A	A	4.4	ENTAILMENT
745	The	The	2.8	NEUTRAL
746	The	A	3.6	NEUTRAL
747	The	A	4	NEUTRAL
748	A	The	2.6	NEUTRAL
749	A	The	3.4	NEUTRAL
752	The	The	4.8	ENTAILMENT
754	The	A	3.4	NEUTRAL
757	The	A	3	NEUTRAL
760	A	A	3.2	NEUTRAL
761	A	A	3.5	NEUTRAL
762	The	The	4.5	ENTAILMENT
764	A	The	3.4	NEUTRAL
766	A	The	3.4	ENTAILMENT
769	The	A	2.7	NEUTRAL
772	A	A	4.5	ENTAILMENT
774	A	A	4.4	ENTAILMENT
777	A	A	2.4	NEUTRAL
783	A	A	3.5	NEUTRAL
784	The	The	4.5	ENTAILMENT
785	The	The	4	CONTRADICTION
789	A	A	2.9	NEUTRAL
791	The	There	3.5	NEUTRAL
792	A	The	2.4	NEUTRAL
793	The	A	4.2	NEUTRAL
796	Two	Some	4.4	ENTAILMENT
797	Nobody	Two	3.3	CONTRADICTION
799	Some	Two	2.7	NEUTRAL
802	Two	Two	3.2	NEUTRAL
804	Two	Two	2.7	NEUTRAL
811	There	A	2.2	NEUTRAL
812	A	A	2.4	NEUTRAL
813	A	A	2.1	NEUTRAL
820	A	The	3.6	NEUTRAL
822	There	A	2.3	NEUTRAL
824	A	A	2	NEUTRAL
825	A	A	2	NEUTRAL
830	The	The	4.6	ENTAILMENT
831	There	The	4.1	CONTRADICTION
836	The	The	3.5	NEUTRAL
839	The	The	3.7	NEUTRAL
841	A	A	3.9	NEUTRAL
844	A	A	4.085	ENTAILMENT
845	A	A	2.9	NEUTRAL
846	A	A	2.1	NEUTRAL
848	A	A	1.8	NEUTRAL
851	A	The	1.8	NEUTRAL
852	A	A	2.7	NEUTRAL
855	A	A	2.4	NEUTRAL
857	One	One	3.7	NEUTRAL
858	One	A	4.4	ENTAILMENT
859	One	A	4.115	NEUTRAL
862	A	One	2.3	NEUTRAL
864	A	Not	3.9	CONTRADICTION
866	Many	A	3.9	NEUTRAL
867	The	An	4.9	ENTAILMENT
868	An	An	3.6	CONTRADICTION
869	An	An	4	NEUTRAL
870	The	A	4.2	ENTAILMENT
872	A	An	3.5	NEUTRAL
874	An	There	3.6	CONTRADICTION
876	An	A	4.5	ENTAILMENT
878	A	A	3.4	NEUTRAL
879	A	A	3.3	NEUTRAL
880	The	Some	4.9	ENTAILMENT
881	The	The	4.1	CONTRADICTION
883	Some	A	4.2	NEUTRAL
887	The	A	3.4	NEUTRAL
888	A	The	3.2	NEUTRAL
889	A	The	3.3	NEUTRAL
892	People	People	4.8	ENTAILMENT
893	People	People	2.9	NEUTRAL
895	People	A	2.8	NEUTRAL
898	People	A	3.8	ENTAILMENT
902	The	The	4.4	ENTAILMENT
904	The	The	3.5	NEUTRAL
906	A	The	3.5	NEUTRAL
908	A	The	4.1	NEUTRAL
909	A	The	3.4	NEUTRAL
910	The	A	3.6	NEUTRAL
915	Two	Two	3	NEUTRAL
917	Two	A	4	NEUTRAL
920	Two	A	4.1	NEUTRAL
922	Two	A	4	NEUTRAL
927	The	The	3.7	CONTRADICTION
931	The	The	3.3	NEUTRAL
932	A	The	3	NEUTRAL
935	A	A	3.5	NEUTRAL
936	A	Some	3	NEUTRAL
940	A	A	3.8	NEUTRAL
943	A	A	4.2	NEUTRAL
944	A	A	2.9	NEUTRAL
945	Some	A	2.6	NEUTRAL
948	Two	Two	3.4	NEUTRAL
949	Two	Two	3.9	NEUTRAL
950	Two	Two	4.9	ENTAILMENT
953	Two	Two	4.5	ENTAILMENT
956	Some	Two	4.3	ENTAILMENT
957	Two	Two	1.6	NEUTRAL
959	Two	Two	4.3	ENTAILMENT
960	A	A	5	ENTAILMENT
961	A	A	3.4	ENTAILMENT
962	A	A	3	NEUTRAL
963	A	A	4.6	ENTAILMENT
967	A	There	3.6	NEUTRAL
970	A	A	2.8	NEUTRAL
973	A	The	4.9	ENTAILMENT
975	A	The	2.9	NEUTRAL
978	A	A	3	NEUTRAL
979	A	A	3.4	NEUTRAL
984	A	The	2.2	NEUTRAL
985	A	A	2.7	NEUTRAL
989	The	A	5	ENTAILMENT
991	The	The	3.3	NEUTRAL
994	An	The	2	NEUTRAL
996	There	The	2.2	NEUTRAL
998	The	An	1.8	NEUTRAL
1000	A	A	4	NEUTRAL
1002	There	A	4.1	CONTRADICTION
1004	A	There	2	NEUTRAL
1007	A	A	2.4	NEUTRAL
1008	The	The	4.7	ENTAILMENT
1009	The	The	4.2	NEUTRAL
1010	The	The	4	ENTAILMENT
1016	Some	The	2.8	NEUTRAL
1018	Some	The	3	NEUTRAL
1019	Some	The	3.9	NEUTRAL
1021	A	The	5	ENTAILMENT
1022	A	There	3.8	CONTRADICTION
1026	An	A	3.6	NEUTRAL
1028	An	The	3.5	NEUTRAL
1029	An	There	3	NEUTRAL
1031	An	A	3.8	NEUTRAL
1033	A	A	3.5	NEUTRAL
1037	The	A	3.2	NEUTRAL
1038	The	A	3.9	ENTAILMENT
1043	A	The	2.8	NEUTRAL
1044	The	A	4.1	ENTAILMENT
1045	A	A	4.9	ENTAILMENT
1046	A	A	3.6	CONTRADICTION
1047	A	A	4.2	NEUTRAL
1048	A	A	4.7	ENTAILMENT
1049	A	A	3.9	NEUTRAL
1050	A	A	2.8	NEUTRAL
1052	A	A	2.6	NEUTRAL
1053	A	A	1.8	NEUTRAL
1054	A	A	2.4	NEUTRAL
1055	A	A	2	NEUTRAL
1057	A	A	2.7	NEUTRAL
1061	A	A	4.4	ENTAILMENT
1064	The	A	3.6	NEUTRAL
1065	There	The	3.565	NEUTRAL
1068	A	The	3.3	NEUTRAL
1069	A	A	3.3	NEUTRAL
1074	The	The	4.5	CONTRADICTION
1076	A	The	4.1	NEUTRAL
1080	The	A	3.3	NEUTRAL
1082	A	A	4.7	ENTAILMENT
1083	There	A	3.5	CONTRADICTION
1084	A	A	3.8	NEUTRAL
1087	A	A	3.1	NEUTRAL
1088	A	A	4.2	NEUTRAL
1090	A	A	2.45	NEUTRAL
1091	A	A	4.2	NEUTRAL
1092	A	There	3.4	NEUTRAL
1093	A	A	3.2	NEUTRAL
1094	A	A	4.4	ENTAILMENT
1095	A	A	4.9	ENTAILMENT
1097	A	A	2.9	NEUTRAL
1099	There	A	2.8	CONTRADICTION
1104	A	A	1.2	NEUTRAL
1105	A	A	1.1	NEUTRAL
1108	A	A	2.8	NEUTRAL
1109	A	A	4.9	ENTAILMENT
1111	A	A	1.2	NEUTRAL
1112	A	There	1.2	NEUTRAL
1115	A	A	1.9	NEUTRAL
1117	A	A	4.3	ENTAILMENT
1118	A	There	3.5	CONTRADICTION
1120	A	There	3.2	CONTRADICTION
1122	There	A	3.8	CONTRADICTION
1128	A	A	3.9	NEUTRAL
1129	The	The	4.6	ENTAILMENT
1133	A	The	3.2	NEUTRAL
1135	The	A	3.9	NEUTRAL
1145	A	The	1.4	NEUTRAL
1147	A	A	1	NEUTRAL
1149	There	A	2.8	CONTRADICTION
1153	There	A	2.5	NEUTRAL
1154	A	A	2.4	NEUTRAL
1155	There	A	3.2	NEUTRAL
1157	A	A	4.6	ENTAILMENT
1161	A	A	4.3	NEUTRAL
1162	A	A	3.5	NEUTRAL
1165	A	A	4.1	ENTAILMENT
1167	There	A	4.1	CONTRADICTION
1169	There	A	3.9	CONTRADICTION
1175	A	A	4.1	NEUTRAL
1179	A	A	1.2	NEUTRAL
1180	A	There	1	NEUTRAL
1182	A	A	1.5	NEUTRAL
1184	A	A	4.5	ENTAILMENT
1188	A	A	4.5	ENTAILMENT
1191	A	A	3.8	NEUTRAL
1193	A	A	4.8	ENTAILMENT
1194	A	There	3	CONTRADICTION
1195	A	A	4.8	ENTAILMENT
1196	A	A	3.4	NEUTRAL
1200	A	There	3.4	NEUTRAL
1202	A	A	4.1	NEUTRAL
1205	A	A	4.3	NEUTRAL
1206	A	A	4.7	ENTAILMENT
1207	A	A	3.5	CONTRADICTION
1212	A	Two	2.5	NEUTRAL
1213	A	Two	2.8	NEUTRAL
1214	A	Two	3.1	NEUTRAL
1215	A	A	4	NEUTRAL
1219	A	A	3.9	NEUTRAL
1221	A	A	4.3	NEUTRAL
1222	A	There	3.7	NEUTRAL
1227	A	There	3.3	CONTRADICTION
1228	A	A	3.2	NEUTRAL
1230	A	A	2.9	NEUTRAL
1239	A	A	3.4	NEUTRAL
1240	There	A	3.1	NEUTRAL
1242	A	A	4.9	ENTAILMENT
1244	A	A	3.1	NEUTRAL
1246	A	A	2.3	NEUTRAL
1248	A	A	3.2	NEUTRAL
1249	A	There	1.8	NEUTRAL
1251	A	A	4.5	ENTAILMENT
1255	The	A	2.5	NEUTRAL
1259	The	A	2.2	NEUTRAL
1268	A	A	4.9	ENTAILMENT
1270	There	A	3.7	CONTRADICTION
1271	A	A	3	NEUTRAL
1273	A	A	1.5	NEUTRAL
1274	A	A	1.9	NEUTRAL
1275	A	A	1.6	NEUTRAL
1276	There	A	1.2	NEUTRAL
1280	A	A	4.1	ENTAILMENT
1282	A	A	2.2	NEUTRAL
1283	There	A	1.6	NEUTRAL
1284	A	A	3.2	NEUTRAL
1287	A	A	4.5	ENTAILMENT
1291	A	A	4.1	NEUTRAL
1292	A	A	4.635	ENTAILMENT
1293	A	A	3.8	NEUTRAL
1294	A	There	2.8	CONTRADICTION
1297	A	There	3.5	CONTRADICTION
1303	A	There	1.3	NEUTRAL
1305	A	A	1.1	NEUTRAL
1308	A	A	1.7	NEUTRAL
1311	A	A	4.8	ENTAILMENT
1317	A	A	1	NEUTRAL
1318	A	A	4.5	ENTAILMENT
1319	A	A	3.5	NEUTRAL
1321	A	A	4.4	ENTAILMENT
1326	A	A	3.5	NEUTRAL
1328	A	A	3.5	NEUTRAL
1329	A	A	3.3	NEUTRAL
1335	The	A	4.4	ENTAILMENT
1336	The	The	3	NEUTRAL
1341	There	A	3.4	CONTRADICTION
1342	A	A	4.8	ENTAILMENT
1344	A	A	4.3	NEUTRAL
1345	A	A	3.8	NEUTRAL
1346	A	A	4.2	NEUTRAL
1350	There	A	3.8	CONTRADICTION
1352	There	A	3.8	CONTRADICTION
1354	A	There	3.6	NEUTRAL
1355	A	An	4.1	NEUTRAL
1358	A	A	4.5	ENTAILMENT
1359	A	A	2.9	NEUTRAL
1361	The	The	3.8	CONTRADICTION
1365	A	The	2.1	NEUTRAL
1368	There	A	3.7	CONTRADICTION
1371	A	A	4.2	NEUTRAL
1372	A	A	2.6	CONTRADICTION
1373	A	A	4.3	ENTAILMENT
1376	A	A	4.6	ENTAILMENT
1378	A	A	5	ENTAILMENT
1379	Nobody	A	4	CONTRADICTION
1380	A	A	4.2	NEUTRAL
1381	Nobody	A	3.8	CONTRADICTION
1384	A	A	4.6	NEUTRAL
1385	A	A	4.6	ENTAILMENT
1386	A	A	4.4	CONTRADICTION
1387	A	A	4.4	ENTAILMENT
1388	A	A	3.3	CONTRADICTION
1389	A	A	1.1	NEUTRAL
1399	There	A	2.1	NEUTRAL
1403	Butter	A	5	ENTAILMENT
1404	A	A	4.8	ENTAILMENT
1405	A	A	4	NEUTRAL
1407	A	A	2.3	NEUTRAL
1408	A	A	1.8	NEUTRAL
1409	Butter	A	1.4	NEUTRAL
1414	Some	Men	4.8	ENTAILMENT
1415	Some	There	3.9	CONTRADICTION
1417	Men	There	3.9	CONTRADICTION
1419	Some	Women	3.8	NEUTRAL
1421	A	A	3.7	NEUTRAL
1427	A	A	1	NEUTRAL
1429	A	A	1.2	NEUTRAL
1431	A	A	3.4	CONTRADICTION
1432	A	A	4.2	ENTAILMENT
1434	A	A	2.3	NEUTRAL
1435	There	A	2.7	NEUTRAL
1438	A	A	3	NEUTRAL
1444	A	A	3.3	NEUTRAL
1446	There	A	1.7	NEUTRAL
1448	A	Dough	4.8	ENTAILMENT
1453	A	There	1.1	NEUTRAL
1455	A	A	1.7	NEUTRAL
1458	A	A	3.1	NEUTRAL
1461	A	A	1.1	NEUTRAL
1463	A	A	1	NEUTRAL
1464	A	A	1	NEUTRAL
1466	Three	Three	4.9	ENTAILMENT
1467	Three	Three	4	CONTRADICTION
1473	Three	Three	2.8	NEUTRAL
1474	Three	Three	2.7	NEUTRAL
1476	A	A	3.3	NEUTRAL
1479	The	A	3.8	NEUTRAL
1480	A	The	3.7	CONTRADICTION
1481	A	The	4	NEUTRAL
1482	A	The	3.5	CONTRADICTION
1483	A	The	4.6	ENTAILMENT
1484	The	The	4.9	ENTAILMENT
1486	The	The	4.1	NEUTRAL
1488	The	The	3.2	NEUTRAL
1489	The	The	3.2	NEUTRAL
1494	There	A	4.3	CONTRADICTION
1498	A	There	4.1	CONTRADICTION
1499	A	A	4.5	ENTAILMENT
1501	A	A	4.9	ENTAILMENT
1504	Three	Three	4.5	ENTAILMENT
1505	Three	Three	3.7	NEUTRAL
1509	Three	Three	2.4	NEUTRAL
1511	Some	A	3.9	ENTAILMENT
1513	Two	Two	4.3	ENTAILMENT
1514	Two	Two	2.8	CONTRADICTION
1517	Some	Two	1.1	NEUTRAL
1519	Two	A	1.1	NEUTRAL
1521	There	A	3.4	CONTRADICTION
1523	A	A	3.1	NEUTRAL
1524	A	A	3.5	NEUTRAL
1527	A	There	2.3	NEUTRAL
1531	A	A	4.4	ENTAILMENT
1532	A	There	3.5	CONTRADICTION
1534	There	A	1	NEUTRAL
1535	A	A	1	NEUTRAL
1536	A	A	1	NEUTRAL
1538	A	A	4.1	NEUTRAL
1541	A	There	2.4	CONTRADICTION
1545	A	There	2.3	NEUTRAL
1547	Mimes	Mimes	4.8	ENTAILMENT
1549	The	The	4.4	ENTAILMENT
1550	Two	The	3.5	NEUTRAL
1551	The	Mimes	3.6	NEUTRAL
1552	Two	Mimes	3.1	NEUTRAL
1553	The	Mimes	3.5	NEUTRAL
1557	A	A	3.6	NEUTRAL
1558	A	A	4.9	ENTAILMENT
1559	A	A	3.9	NEUTRAL
1563	A	A	3.5	NEUTRAL
1565	A	A	4.6	ENTAILMENT
1566	A	There	3.5	CONTRADICTION
1570	A	A	3.5	NEUTRAL
1573	A	A	1.5	NEUTRAL
1574	A	A	2.5	NEUTRAL
1575	A	There	2.5	NEUTRAL
1576	A	A	2.5	NEUTRAL
1580	A	A	4.5	ENTAILMENT
1582	A	The	4	ENTAILMENT
1585	A	The	2.7	CONTRADICTION
1586	A	The	4.2	ENTAILMENT
1587	Some	A	4.6	ENTAILMENT
1588	A	There	3.7	CONTRADICTION
1591	The	A	3.2	NEUTRAL
1592	A	The	2.3	NEUTRAL
1595	A	The	4.1	NEUTRAL
1599	The	The	3.3	CONTRADICTION
1601	The	A	4.2	NEUTRAL
1604	The	The	4.8	ENTAILMENT
1606	The	A	4.7	ENTAILMENT
1607	A	One	4.7	ENTAILMENT
1609	A	A	2.3	NEUTRAL
1610	The	The	4.8	ENTAILMENT
1612	The	A	4.8	ENTAILMENT
1614	The	One	4.6	ENTAILMENT
1615	No	The	3.4	CONTRADICTION
1618	A	A	4.9	ENTAILMENT
1621	The	The	3.6	CONTRADICTION
1625	The	There	1.5	NEUTRAL
1626	The	A	1.3	NEUTRAL
1627	A	Some	4.5	ENTAILMENT
1629	A	Some	2.8	NEUTRAL
1631	A	There	3.4	CONTRADICTION
1632	A	A	2	NEUTRAL
1635	Some	A	1.6	NEUTRAL
1639	A	Some	3.3	NEUTRAL
1640	The	The	4.6	ENTAILMENT
1641	The	The	3.6	CONTRADICTION
1643	One	One	4.9	ENTAILMENT
1646	The	One	4.4	ENTAILMENT
1647	The	There	3.6	NEUTRAL
1648	A	The	4	NEUTRAL
1649	The	One	4.2	NEUTRAL
1650	The	One	3.3	NEUTRAL
1651	A	One	2.9	NEUTRAL
1652	The	One	4.4	ENTAILMENT
1653	One	One	4.7	ENTAILMENT
1655	A	One	3.6	NEUTRAL
1657	The	The	3.2	CONTRADICTION
1659	One	The	3.6	CONTRADICTION
1660	One	The	4.5	ENTAILMENT
1661	There	The	3.5	CONTRADICTION
